Hash,Date,Author,Message,IsMerge
1b3815928d5ada407e9ba6ec20ed4bb3af685e22,2016-11-04 13:40:54,John-David Dalton,Ensure `fp.mergeAllWith` accepts more than 2 sources. [closes #2786],False
fbb67f9dbe86351e7e4b408b5d384e516dbef0ca,2016-11-03 20:54:04,greenkeeper[bot],Update deps.,False
8d24f393ac4f2da2300205f275c97d6d9962af86,2016-11-01 13:25:43,John-David Dalton,Increment package version to enable ci tests.,False
7759376b91a2b7e8c4ae4d4fcb0b02c80145a6d2,2016-11-01 11:30:14,John-David Dalton,Bump to v4.16.6.,False
ccc3081be0e61a25611ae437ccecd1e31939fe71,2016-11-01 11:28:47,John-David Dalton,Rebuild lodash and docs.,False
62b66305f272b2aa866789fae3948e56a345cb72,2016-11-01 09:04:49,John-David Dalton,Adjust conditional assignments.,False
65daae20430b14b4b0f94cb908f1241776cf585b,2016-11-01 05:02:58,John-David Dalton,Remove unneeded var assignment in `baseXor`.,False
0fcf43b02b370ac6579c9d6aa1dc88e54f0b96c7,2016-11-01 05:02:58,John-David Dalton,Ensure `_.xor` returns an empty array when comparing the same array. [closes #2776],False
46d1f53ee9d42b5c4f8dca8b23e7d026bbc12d42,2016-11-01 05:02:52,John-David Dalton,Increment package version to enable ci tests.,False
fc22665dd83d5d4a015484b9df3013a6a1c1eb38,2016-10-31 11:26:07,John-David Dalton,Bump to v4.16.5.,False
7862e5ce2d708f2b06fa5f56a2993bdecb1a9c72,2016-10-31 11:26:04,John-David Dalton,Rebuild lodash and docs.,False
7cbffd5ebf9771f5aa98da5f2d674718b4e3c7d0,2016-10-31 11:25:59,John-David Dalton,Update deps.,False
5028267c72ca28322600400074d9c3afa6c9dbd7,2016-10-30 07:02:24,John-David Dalton,Fix broken builds.,False
6f03ef955c08e6b3c19236953d4f8b14c2cdfae0,2016-10-30 07:02:24,John-David Dalton,Drop Node 4 testing in travis.,False
f75bf13ad107bfbc220ddda4468f3c8257619188,2016-10-30 07:02:23,John-David Dalton,Use ~ instead of $HOME.,False
d7dbf0951d03f3c757de6a6e0fdad2af020e46de,2016-10-30 07:02:23,John-David Dalton,Add another `_.xor` test for multiple arrays.,False
daf6de6a46265c61d607149482c040d7111083be,2016-10-30 07:02:23,John-David Dalton,Add uncloneable `Proxy` constructor test.,False
7d4c3ed404363f89c6215be450d1e693ef57e166,2016-10-30 07:02:23,John-David Dalton,Add async function detection to `_.isFunction`.,False
a9fd17950af7101d6b84ee5ed3f08f48f2adaa41,2016-10-30 07:02:23,John-David Dalton,Add `clear` to the `Map` interface note of `_.memoize`. [ci skip],False
b91a51525875d1a9f07c63e907cbc9ab5b608a71,2016-10-27 12:36:59,John-David Dalton,Cleanup test labels.,False
bc5729a9de8ac60ba4c6700d9de98ddecb03e57d,2016-10-27 12:36:59,John-David Dalton,Use consistent nullish checks.,False
729d1a57aa77a9c82c8292dcfa0054e4b90060b1,2016-10-27 12:36:59,John-David Dalton,Ensure `_.xor` works with more than two arrays. [closes #2758],False
73e2562cd172f79a103bad90a9ac5992741b0852,2016-10-26 13:21:34,John-David Dalton,Add Node 7 testing to travis.,False
849423c9d878a6d2acb68af73188f7a03cdab6f9,2016-10-26 11:43:40,John-David Dalton,Param doc format nits. [ci skip],False
1c9a9f364dc0c37853ae26b975af2d96c5337b89,2016-10-26 11:43:34,Richard Gibson,Avoid object mutation in `getRawTag`. [closes #2755],False
e485e16d28ad1c6c5843e602b12adee4b730abce,2016-10-26 03:00:33,John-David Dalton,Update deps.,False
bc49e7fe1862ad675fb517d779b970cf23d10c4e,2016-10-25 04:45:31,John-David Dalton,Bump Chrome testing in Sauce.,False
6a9337434f587e28176030385f59c7018ea6cf6f,2016-10-25 04:45:31,John-David Dalton,Use travis jwt addon.,False
0c89b9aeb54e23bb8a073f07f6d79429e764d0f0,2016-10-24 22:47:49,John-David Dalton,Update uglify-js to 2.7.4.,False
